ABLY	abley
CRBL	cherbel
CRYSTAL	christall
CVVANAK	chovanak
CVYLR	schuyler
CYA	cheal
CYK	chik
CYLYNGVRS	chillingworth
CYM	chiem
CYP	gepje
CYZVRV	chizuru
DABNY	dabney
D'A	dua
DAGN	dodgen
DAJYVN	dudgeon
DAK	duk
DAKLVZ	ducloz
DAKV	daco
DALBK	dalbec
DALBRGR	dulberger
DANA	thana
DANLVP	dunlap
DANSTR	dunster
DANYL	daniell
DANYLV	danilo
DAPNYK	doupnik
DATVN	dutton
DATVYT	duthoit
DAVNPRT	davenport
DAVNYNG	downing
DAVRS	dovers
DAYN	dwaine
DGVTARDY	degotardi
DHAMAR	dhamar
DJLY	dagley
DKK	dekok
DLY	dalie
DNJVR	dangoor
DNYH	danih
DRADR	drader
DRAVN	drown
DRDH	darde
DRGVMYR	dragomir
DRNAL	darnall
DRSNR	dressner
DRV	derro
DRVMAND	drummond
DRVNY	drune
DRYMZ	dreams
DRYV	drewe
DRYVT	drewett
DSL	desle
DSRAZYRS	desrosiers
DTVYLR	detweiler
DVAYKYNK	duickinck
DVBRYKYN	dobrikin
DVBVYS	dubois
DVDJ	dodge
DVMN	domen
DVMYNYN	dominion
DVNPYK	devenpeck
DVRDAL	dordal
DVRKN	dorken
DVRSY	dorthy
DVYR	duerr
DVYT	dwight
DYBT	debathe
DYDA	rida
DYK	dick
DYKNS	dykins
DYKSAY	dixie
DYKSVN	dixon
DYL	dil
DYLR	diller
DYLYP	dilip
DYMASK	dimashq
DYMN	damon
DYMYTRYV	demetriou
DYNA	dyna
DYN	dinn
DYR	dayr
DYRKS	dirks
DYTJY	daatje
DYTVTALA	ditutala
DYVRT	divertje
DYVYD	david
DYVYT	dewitt
FACS	fuchs
FAD	fahd
'FAF	afaf
FALCVK	falchuk
FALKV	falco
FANTS	fontes
FARLY	farley
FARTK	furtek
FARVK	farouk
FATYS	fotis
FAVNS	fownes
FAVST	faucett
FAYNSTVN	finestone
FAYYZ	fayiz
FAZ	faiz
FAZY	fuzzy
FLSTY	flesti
FLVVRZ	flowers
FLYNY	fellini
FMYA	femea
FRAM	frahm
FRANKV	franco
FRANSYNTH	franscyntje
FRANSYSKVS	frnaciscus
FRAYDMN	friedman
FRAYDY	friday
FRAY	fry
FRAYGRSA	fritgersa
FRAZR	frazer
FRDRYK	fredrick
FRDYA	frieda
FRDY	freddie
FRDY	freddy
FRH	farah
FRNS	furness
FRNSNYT	franscyntje
FRNZL	frenzel
FRYDH	fariha
FRYDL	friedl
FRYMAL	freemal
FVNTNVT	fontenot
FVRDSANDN	furdesanden
FVRY	furey
FVTS	fouts
FVTYNVS	fotinos
FYAKSY	phiaxay
FYGVRA	figura
FYLR	feiler
FYLVZ	fellows
FYLY	feely
FYNYN	finnin
FYRVZ	fairuz
FYRVZ	phiroze
FYZL	faizel
GABBL	gobble
GADGL	gudgel
GAJNH	gagne
GALATYN	gallatin
GAL	gale
GALVLA	gallula
GAMAL	gamal
GANDRSVN	gunderson
GANDRZYK	gonderzik
GANG	gang
GARYS	gaeris
GARYTV	garito
GASKAT	guscott
GASKVYYN	gascoyne
GASLR	gashler
GASPR	gasper
GATKVMB	gatcombe
GATYS	gattis
GAYDVAL	gidewall
GAYLR	gayler
GAYT	guyatt
GDBRY	gadbury
GLDFVT	goldfoot
GLYCMN	gleichman
GNKS	genks
GNVSYS	gnosis
GRARDYN	gerardin
GRAYNGR	grainger
GRDN	gorden
GRHARD	gerhard
GRLYK	garlick
GRMAK	germack
GRS	gerth
GRVHVL	grohol
GRVNR	groner
GRVNYNK	groenink
GRYBL	gribble
GRYFYS	griffis
GRYG	greig
GRYGR	grieger
GRYNJ	gerringe
GRYNJR	grainger
GRYPNKRL	griepenkerl
GRYSAYLD	grishilde
GRYSMVR	grismore
GRYST	grist
GRYSVALD	griswald
GRYSYLD	grishilde
GRYTZN	gerritzon
GST	guest
GVANYAV	guanyao
GVDNAF	goodenough
GVDRV	goudreau
GVDRYC	goodrich
GVLVMB	golomb
GVNNA	gonna
GVRAL	gural
GVRBRG	gorberg
GVRD	gorde
GVRGAN	gorgon
GVRTVN	gorton
GVSTLV	gostelow
GVSVYL	goswell
GVTHARD	gotthard
GVVDGR	goodger
GVVDYNG	gooding
GVYLAM	guillaume
GVZVYTZ	gosewitz
GYANASY	giannasi
GYBSN	gibson
GYBVNZ	gibbons
GYDRY	guidry
GYDVN	gideon
GYLSPAY	gillespie
GYLYS	gillies
GYLYS	gillis
GYML	gemmell
HABRKAM	habercom
HAFMN	hoffman
HAFMN	hoffmann
HAGAN	hagan
HAGLYN	hagelin
HAGMN	hodgeman
HAGN	hagen
HAGYN	hagin
HAKDT	hocdet
HALTVN	holton
HALY	haley
HAMFRYZ	humphreys
HAMR	hammer
HANA	hanaa
HAN	han
HARBVR	harbor
HARDYN	hardin
HARMAN	harman
HARMZ	harms
HARPR	harper
HARSA	harsha
HARYNKAR	harincar
HATCSVN	hutcheson
HAYDMN	heidmann
HBRN	hebborn
HBYBA	habiba
HDAYA	hadaya
HFSH	hafsah
HGARTY	hegarty
HKR	hacker
HKR	hecker
HKSAV	hackshaw
HLAVYN	hlavin
HLD	heald
HL	hell
HLK	helke
HLY	holy
HMANZ	hammans
HMYD	hamid
HNDRYK	hendrickje
HNJY	hentje
HNL	henle
HNRYT	henriet
HRBYJ	harbidge
HRMAN	herrman
HRMZ	hermes
HRYKN	haricken
HRYVL	hartwell
HSMANS	hesemans
HVFRD	hoford
HVG	hough
HVMAK	hummock
HVQYM	hoogheem
HVTN	hutton
HVYD	hviid
HYDRYS	heidrich
HYLNBRND	hillenbrand
HYNTZ	heintz
HYNVNN	heinonen
HYRN	hiern
HYSMANS	hesemans
HYTZ	hitz
HYVM	hume
HYVVYT	hewitt
HYVZR	heuser
HYZMAN	heezemans
HYZMNS	heezemans
HYZYMNZ	heezemans
JAKVAS	jacques
JAKVBH	jacobje
JAKVBJH	jacobje
JANA	jana
JANG	jung
JANK	jahnke
JANTYH	jaantje
JANVT	janotje
JARBVT	jarbot
JASPRZ	jaspers
JASVA	joshua
JAVYKA	jovica
JAYANT	jayant
JAYARAM	jayaram
JHMANH	jahmane
JKYN	jokin
JLTH	jeltje
JMYLAH	jamilah
JMYL	gemmell
JNA	jana
JNDRYC	gendrich
JNG	jeng
JNTRY	gentry
JNYFR	jennifer
JNYRV	janairo
JRVNYMVS	jeronimus
JSYKA	jessica
JVANDR	juvander
JVANG	juang
JVAN	juan
JVAY	juay
JVD	judd
JVLYANY	giuliani
JVN	june
JVRJYA	georgia
JVRYNG	goering
JVZYH	josie
JYA	jia
JY	jee
JYLAM	gillam
JYLYAN	jillian
JYLZ	jilles
JYN	jean
JYVK	jiok
KACYH	cutchie
KADV	kado
KAKALK	kacalek
KAKDKAR	kakodkar
KALPANA	kalpana
KALR	koller
KALSYN	calsyn
KAMPYLV	campillo
KAMR	kummer
KAMRVD	kamerud
KAMSTAK	comstock
KANAN	kannan
KANBVY	conboy
KAN	kane
KANN	canon
KANTRA	cantara
KAPYLA	kapila
KARA	kara
KARASA	karaca
KARBAJAL	carbajal
KARKAS	karakash
KARLAYL	carlile
KARNYA	carina
KARNY	carney
KARSVN	karlsson
KARYLV	carrillo
KASRTYNV	casertino
KASTR	koster
KASTRV	castro
KATLR	cutler
KATRYNA	katrina
KATRYN	katryntje
KATRYNTH	katryntje
KAVSTN	cawston
KAYK	kauk
KAYSR	kayser
KDYN	kadin
KLANTVN	clanton
KLASMYR	klausmeier
KLASN	klassen
KLAYR	claire
KLVLY	clewley
KLVSN	claussen
KLYBR	klyber
KLYN	klein
KMBZ	combs
KMP	kemp
KNTA	kenta
KNVFYNKH	knufinke
KPTAN	kapetan
KRAY	cray
KRBSR	krebser
KRNAY	kernie
KRVTYV	croteau
KRY	cray
KRYMN	kriman
KRYPYV	crepeau
KRYS	chris
KRYSJH	krisje
KRYS	kris
KRYSTVN	crichton
KRYSTYANA	christiana
KRYSTYNA	kristina
KRYSTYNTY	kristijntje
KRYTR	crater
KRYVAS	crevasse
KSTLAK	kostelak
KSTR	caster
KTLAR	cotlar
KTL	cattell
KTNZRV	catanzaro
KVAL	kowal
KVANG	kwong
KVANRAD	coenraad
KVARTZYTH	quartzite
KVAYT	kuwayt
KVJYAS	kogias
KV	kao
KVL	col
KVLN	koolen
KVLYNGVVD	collingwood
KVMR	comer
KVN	cone
KVN	keven
KVNVR	connor
KVNVVR	conover
KVPJANZ	coppejans
KVRAN	curran
KVRKAM	corkum
KVRL	corl
KVRNLH	kornele
KVRNLVS	cornelius
KVRNLYS	cornellis
KVRNZ	corns
KVRSTN	korsten
KVRYDVR	corridor
KVSADA	quesada
KVSAY	kushay
KVSTA	costa
KVSTYLV	costello
KVSYN	kocian
KVTLA	kotla
KVYK	koike
KVYL	coyle
KVYN	kuin
KVYNRAD	coenraad
KVYNRAD	coenraadt
KVYNTN	quainton
KVYYMAN	coeyman
KYBLR	keebler
KYDRA	keidra
KYFR	keifer
KYHL	kiehl
KYKVMA	kikuma
KYLR	keeler
KYNAN	kinane
KYNSL	kinsell
KYPLYNG	kipling
KYRBY	kirby
KYT	keet
KYV	cave
'LAALDYN	alaaldin
LADASKY	ladasky
LAHYJ	lahij
LAKLH	lacelle
LAK	lock
LAKR	locker
LAKS	lax
LAMBVLY	lamboley
LANDAGR	lundager
LAND	lund
LANDR	londre
LANDRY	landry
LANG	lung
LANGNZ	langnes
LAPVRD	lapworth
LASKALA	lascala
LASTYNG	lustig
LASVN	larson
LATA	latta
LAYVY	liewe
LBVN	lebon
LDFVRD	ledford
LHLH	lehle
LHMAN	lehmann
LKRVS	lacross
LKS	lax
LNDAHL	landahl
LNGLY	langley
LNSVN	lanson
LP	lap
LVC	loch
LVDVRF	ludorf
LVDVYJK	lodewijk
LVDVYKA	ludovica
LVK	locke
LVK	luk
LV	lau
LVNY	lonnie
LVRA	laura
LVSYH	lucie
LVVT	louvet
LVY	levey
LVYS	lewis
LYAM	liam
LYBL	lebel
LYCFYLD	litchfield
LYDMAN	lademann
LYDRDRVP	leiderdorp
LYGYV	liggio
LYLBK	lilback
LY	lea
LYLY	lilli
LYNARS	linares
LYNDNMVT	lindenmuth
LYNDZ	lynds
LYNGAS	lingus
LYNK	link
LYPSKMB	lipscombe
LYSKANV	liscano
LYSKN	lisken
LYSY	lacy
LYSYN	lesesne
LYTN	leythen
LYTVN	leighton
LYVH	liewe
LYVYV	liviu
MACTLD	machteld
MADYGAN	madigan
MADY	maddi
MAGAGNA	magagna
MAGARD	maggard
MAGDALYNTH	magdaleentje
MAJY	majee
MAK	mack
MAKRYJ	mockridge
MAKSYMYLYAN	maximilian
MAKVMBR	macomber
MALAN	malan
MALD	malde
MANDAVYL	mandaville
MANDY	munday
MANSTR	monster
MANSYNGR	munsinger
MANTNZ	mountains
MANTYKS	mannix
MANYT	manith
MAPLZ	maples
MARALY	murali
MARDVC	murdoch
MARGANTH	marregante
MARGANT	marregante
MARKVM	marcum
MARKVS	marcos
MARKYL	markiel
MARKY	markey
MARKYYVS	marcus
MARN	muren
MARTYNVS	marthinus
MARTYNZ	marthinus
MARVN	maroon
MARYJNT	marregante
MARZK	marzec
MASAHYRV	masahiro
MASK	masek
MASVN	masson
MAT	mutt
MAV	mao
MAYKVK	maycock
MAY	may
MAYN	maine
MAYR	mayr
MAYT	might
MCLD	machteld
MFRG	mafraq
MGDALNT	magdaleentje
MGLAGLYN	maclaughlin
MHRA	mahrah
MKGVYRK	mcguirk
MKKNY	mckenney
MKLARN	maclaren
MKLAVLYN	mcloughlin
MK	mak
MKMANYS	mcmanis
MKMVLN	mcmullen
MKNAT	mcnutt
MKVY	macvoy
MKY	macky
MLANY	melanie
MNDYK	mendyke
MNSTRYNA	menestrina
MNTZR	mentzer
MRKL	merkel
MRTNZ	mertens
MRYJ	marritje
MRY	maury
MST	mast
MSYN	masin
MVGANTY	moganti
MVHR	mohar
MVNAKV	monaco
MVNKAR	moncur
MVNRV	munro
MVNTANV	montano
MVRAVAN	moravan
MVRLYJ	morlidge
MVRTYMVR	mortimore
MVRVYL	morville
MVRYL	morrill
MVSFYS	mooseface
MVSVY	moosavi
MVTVR	motor
MVYR	muir
MVZYNA	mozina
MYDLTVN	middleton
MYDY	medea
MYGR	meagher
MYJR	meijer
MYKA	mekkah
MYKAYL	mikael
MYKAYYL	mickhael
MYKVLYK	mikolic
MYLAM	milam
MYLKS	milks
MYLNR	milner
MYLNYVM	millennium
MYLVARD	milward
MYLYGAN	milligan
MYMAS	mimas
MY	mei
MYNKY	minqi
MYNRZ	meiners
MYNSR	mincer
MYNYARD	minyard
MYRS	mears
MYRZ	mears
MYSN	maysan
MYSTRY	mistry
MYTVN	maton
MYTVNN	miettunen
MYVZ	meewes
MYZVN	maison
NAL	knoll
NATSN	knutsen
NAYFLR	nyffeler
NLSN	nilsen
NPTVN	napton
NSLY	nesley
NSNAL	national
NSVA	nashwa
NTAKR	nethacker
NVBL	knobel
NVDYNG	nuding
NVL	nevel
NVNYS	nunis
NVP	knoph
NVRDA	noorda
NVRDRAP	noorddorp
NVRTVRPH	northorpe
NVRTVRP	northorpe
NVRVVD	norwood
NYDA	nida
NYG	nigg
NYKL	nickel
NYK	nic
NYKSVN	nixon
NYLBRY	tilbury
NYLTH	neeltje
NYN	nien
NYNS	ninnis
NYNV	nino
NYPTVN	napton
NYVAN	neuen
NYVKVYST	newquist
PABLT	poblete
PALAK	pallack
PALYDV	pulido
PALY	pauli
PANKRS	pancras
PAN	pan
PANT	pant
PAPALARDV	pappalardo
PAPAY	papay
PAPVYK	popovic
PARA	parra
PARDYNGTN	pardington
PARKZ	parks
PARSVNS	parsons
PARSVNZ	parsons
PASYR	passier
PATRYK	patrick
PATRYSYA	patricia
PAVLTH	paultje
PLAMN	plamen
PLTCR	pletcher
PLTYYR	pelletier
PLYGRYNY	pelligrini
PNL	pennell
PRAGV	prague
PRAMVD	pramod
PRAS	prush
PRATYK	prateek
PRVTVS	protus
PRVVST	provost
PRYLV	perillo
PRYMRV	primero
PRYNS	prince
PRYNT	pariente
PRYTY	pretty
PTRSN	paterson
PTRVV	petrov
PTRVYC	petrovich
PVALMA	puelma
PVGVSYAN	pogosyan
PVLN	polen
PVLYYAM	pulliam
PVPAT	popat
PVR	poore
PVRYR	puryear
PVYSL	poisl
PYKASV	picasso
PYKZ	peaks
PYLVSKY	pilewski
PYLVYV	pilvio
PYLYSNRY	pillsbury
PYNKVVYTZ	pinkowitz
PYN	pane
PYNTR	paynter
PYP	pape
PYRSN	pearson
PYRS	pearce
PYSAN	paysan
PYS	pace
PYYK	peak
PYYRY	pieri
PYZVLYTV	pizolato
QAYD	ghayth
QYT	ghayth
RADBVN	radbone
RAFALSKY	rafalski
RAGLND	ragland
RAKAH	raqqah
RAM	ramm
RANKYN	ronkin
RAN	ron
RASKYN	raskin
RASTN	roston
RAST	rust
RATJRT	rutgert
RATMN	rathmann
RAYVLYNGZ	rawlings
RBYH	rabiah
RDYDH	raidah
RHLYNG	rehling
RHNY	rheni
RJAT	rajat
RMPLYNG	rampling
RMY	remy
RNZ	renze
RSVLVYRT	resolveert
RSVNAT	resonate
RVD	rood
RVHM	rohm
RVKRY	rookery
RVKZ	rooks
RVMYV	romero
RVNY	roni
RVP	rupe
RVSL	russell
RVSNFLD	rosenfeld
RVS	roush
RVTJY	vrouwtje
RVT	route
RVVTH	vrouwtje
RVYMATA	roimata
RVYS	royce
RVYYZ	ruiz
RYBAK	roebuck
RYCY	ritchie
RYJKARD	rijkaard
RYJSVYJK	rijswijk
RYMY	reamy
RYNGST	ringuest
RYNVLDSVN	reynoldson
RYSKAR	racecar
RYVARD	rivard
RYVYS	reavis
RYZ	reese
RYZR	reiser
RZYNT	resyntje
SABT	sabot
SABYNY	sabini
SAKLAD	saklad
SAKSYM	saxnem
SAKT	sackett
SALYVAN	sullivan
SAMAR	shammar
SAMH	sameh
SAMYT	summit
SANBRN	sansburn
SANDRAM	sundaram
SANGV	sangho
SANJSTR	sangster
SANKN	sunken
SANK	shank
SANLA	sannella
SANNAR	shunnar
SANTH	santje
SANTSBRN	sansburn
SANTVSY	santucci
SARATY	sarathy
SARTZR	shartzer
SATFYN	sutphen
SAT	schut
SAVCVK	sawchuk
SAYMKV	simko
SAYP	sipe
SAYT	sytje
SAYVYR	sawyer
SDRHLM	cederholm
SGAL	segal
SKANL	scannell
SKARP	scarp
SLFY	salfi
SMAH	samah
SMYR	schmeer
SMYZ	semiz
SNDLYN	sandlin
SNDRS	sanders
SNDZ	sands
SNNY	seeney
SPHR	sepehr
SRHYR	serhir
SRKAMB	sircombe
SRKYH	sharqiyah
SRVMBC	crumbach
STFANVS	stephanus
SVART	swart
SVLVYR	solovier
SVLYTAS	sotilas
SVNSN	swensen
SVNY	sonny
SVRAJ	suraj
SVR	sore
SVRTL	shortell
SVSYL	sushil
SVYDH	suwayda
SVZY	suzy
SYANG	shiang
SYANV	siano
SYDA	saida
SYDLR	sidler
SYLK	silk
SYLVY	silvey
SYLYT	celetje
SYMARD	simard
SYMN	seman
SYMR	simer
SYMVN	simon
SYMVNZ	simmons
SYNAN	sinan
SYNDLMN	sindelman
SYNG	sing
SYNKLAYR	sinclair
SYNK	sync
SYNTYA	cynthia
SYNYBALDY	sinibaldi
SYRAN	sheeran
SYRL	searle
SYRVS	cyrus
SYS	seese
SYTH	seytie
SYTRA	sitrah
SYVA	siva
SYVNG	sung
SYVN	sune
SYVSMNZ	coesmans
SZARV	cessaro
TAC	touch
TAFTZ	tufts
TAMATYVS	tomatius
TAMZ	toms
TANA	thana
TAPA	thapa
TATYL	tuthill
TFYLAH	tafilah
TGLBRG	tegelberg
TLFR	telfer
TLKVM	telecom
TM	tam
TNBV	tennebo
TNYSAN	tennyson
TRASH	terrace
TRAVN	trown
TRAYNTZ	tryntje
TRLDY	thurlede
TRNT	trent
TRTJY	truitje
TRVDL	trudel
TRYGS	triggs
TRYVRAYS	treuerice
TSKR	tasker
TVBYN	tobin
TVFRY	tofferi
TVLA	tula
TVMAS	thomas
TVNG	tuong
TVRDA	torda
TVRNTVN	thornton
TVRTN	thornton
TVSV	tuso
TYCAVR	tichauer
TYJATH	tjaatje
TYLMANS	tielemans
TYNG	tyng
TYPV	tippu
TYRY	tierie
TYSZA	tisza
VAFA	wafa
VAKVRN	vankeuren
VALDMANYVNA	waldmanneuenna
VALKNAR	valkenaar
VALTN	walton
VALT	walth
VALVRT	walworth
VALYHVR	valihora
VANDRVYYR	vanderveer
VARBVRV	warborough
VARN	warne
VARNY	varney
VASALV	vasallo
VASYT	wasit
VATRHAVS	waterhouse
VATRMN	waterman
VAYL	vail
VAYNTH	wyntje
VAYTHVRN	whitehorn
VAYTYKR	whiteaker
VAYZAK	yzaak
VFA	wafa
VFYAH	wafiyyah
VHRA	vohra
VLAM	welam
VLFSVN	wolfson
VLTMR	voltmer
VNDL	wendel
VNDMN	vandeman
VNDRVR	vanderveer
VNDVVSN	vandousen
VNKVRN	vancuren
VNR	venner
VRLV	varlow
VRMAS	vermaas
VRMVNT	wermont
VRYLAV	worrilow
VSLZ	vessels
VSTLY	westley
VSTVR	westover
VST	west
VVDBRN	woodburn
VVDHAVS	woodhouse
VVDN	wooden
VVN	wun
VYBRND	wijbrand
VYDAL	vidal
VYDA	widad
VYDD	widad
VYDYR	widere
VYDYV	video
VYGN	vigen
VYGSTVN	wigston
VYG	weage
VYJNAND	wijnand
VYKTYM	victim
VYK	vic
VYK	wake
VYLHLMAS	wilhelmus
VYLKAKS	wilcox
VYLKRSVN	wilkerson
VYLKYNZ	wilkins
VYLND	weiland
VYLYANY	villani
VYLY	wiley
VYMAL	vimal
VYMBRLY	wimberley
VYNR	weiner
VYNSN	wincn
VYNTRR	winterer
VYRAF	viraf
VYRT	wirt
VYR	ware
VYSTVN	weaston
VYTSH	wietse
VYTVR	vitor
VYTVRYA	vittoria
VYT	waite
VYZNRY	visionary
XALYDH	khalidah
XLYDH	khalidah
XLYLH	kalila
YAKVTAH	yakootah
YAN	yan
YASR	yasar
YASYN	yasin
YMHA	yamha
YSYRA	yasirah
YVLYN	youlin
YVN	yumn
YVRMV	yermo
YVZR	user
YYTZ	yates
ZABZ	jobje
ZANT	jaantje
ZARYTN	zjarritjen
ZHRA	jahra
ZHRA	zahirah
ZHYRH	zahirah
ZKH	zeke
ZMANK	zemanek
ZRYF	zarifa
ZVRYSYKA	jurisica
ZYL	zyl
ZYNA	zaynah
ZYNSR	zinser
ZZ	zaza
