ABND	abend
BNTZ	bennetts
BNYA	baniya
BRAD	brode
BRADRTN	brotherton
BRASRZ	brashers
BRATR	brater
BRAYSVN	bryson
BRAYTVN	brighton
BRDSAV	bradshaw
BRDYT	burditt
BRGS	burgess
BRHAN	burhan
BRL	burl
BRNARD	barnard
BRNARDY	bernardi
BRNDAN	brendan
BRNDL	brandel
BRNDL	brandelle
BRNT	brent
BRTLSVN	bertelson
BRVANHAT	braunhut
BRVNVYYN	brunwin
BRVNYYV	bruneau
BRVSYAV	brousseau
BRVVR	brewer
BRVYN	bruyn
BRYJ	brij
BRYN	bryn
BRYNGTVN	barrington
BRYTLYNG	breitling
BRYVR	brewer
BSKV	besko
BSMA	basma
BSYM	basim
BTAN	bethan
BTHVN	beethoven
BVCA	bosscha
BVDA	bozuwa
BVDAPATY	bodapati
BVDYVN	boudeweyn
BVGARD	bogaard
BVKR	boker
BVLA	bulla
BVLF	bolef
BVLR	boller
BVLR	buller
BVMN	bowman
BVRKVAL	boerkoel
BVRYZ	borries
BVSK	buceck
BVSNY	bosnia
BVSTYK	bostwick
BVSVAL	boswall
BVSVYSN	boshuysen
BVSYK	busick
BVTCR	butcher
BVYVN	boivin
BVZVVA	bozuwa
BYDA	bayda
BYFJH	baefje
BYGLHL	beaglehole
BYGNVALD	bigenwald
BYGV	bigo
BYK	beck
BYK	bick
BYKNST	bakeneset
BYLYNSKY	bilinsky
BYMYNG	beeming
BYNS	bines
BYNYYVN	binion
BYRA	byra
BYR	bear
BYRG	birge
BYRYC	barich
BYRYNG	bearing
BYTARD	bittard
BYVMVNT	beaumont
BYYVCMP	beauchamp
BYZYR	bussiere
CANDRAN	chandran
CAPMN	chapman
CARNG	charng
CMBRZ	chambers
CRSKYNAY	chrescyntie
CRVBYNY	cherubini
CVA	choua
CVDHARY	choudhary
CVLKA	chwolka
CYAKY	chiaki
CYKN	chickon
CYLT	cheiltje
CYPMN	cheapman
CYTAN	chetan
CYV	chiew
DABVS	dubose
DADH	dade
DAF	duff
DAG	dug
DAGZ	dogs
DAHAML	duhamel
DALBK	dalbec
DALBRGR	dulberger
DAMYVN	damion
DANDAS	dundas
DANGYVN	dungeon
DANJL	dangel
DANKY	dunki
DANLY	donnelly
DANTN	dunten
DANYL	danielle
DARBY	darby
DARNL	darnall
DATRY	datri
DAVNY	downey
DAYCYNC	duyckinck
DAYLVN	dillon
DAYRT	dievertje
DAYVRJH	dievertje
DGVTARDY	degotardi
DKK	dekok
DL	del
DLTVVYA	deltuvia
DLYSYV	delisio
DMA	dima
DN	den
DNDLR	dandler
DNJVR	dangoor
DNKYND	danekind
DNTVN	denton
DNYH	danih
DNYS	danis
DRCMN	drachman
DRMVT	dermott
DRNAL	darnall
DRSNR	dressner
DRVYT	drewett
DTLFS	detlefs
DVCYNC	duickinck
DVDGVN	dudgeon
DVFVR	dufour
DVGAN	dugan
DVK	doake
DVLMAN	dolman
DVLYN	dolin
DVNATV	donato
DVNPYK	devenpeck
DVRAND	durand
DVRAN	doran
DVRAPT	durupt
DVRATY	dorathee
DVRDAL	dordal
DVRKYN	dworkin
DVRND	durand
DVRN	dorn
DVRTJH	doortje
DVRVTY	dorothy
DVYNDR	devender
DVYR	duerr
DYAMVND	diamond
DYGAN	degen
DYLYNGR	dellinger
DYMA	dima
DYM	dame
DYMYNG	deeming
DYMYTRY	dimitri
DYNG	ding
DYNGLV	deangelo
DYNGSVR	dingsor
DYNPYK	devenpeck
DYVHA	duha
DYVN	deven
DYVYSVN	davison
DYZR	devisser
FABRH	fabre
FADNBRG	fudenberg
FADYL	fadil
'FAF	afaf
FARSBRG	forsberg
FARVANYAH	farwaniyah
FARYVR	farrior
FAS	foss
FAYNLY	finley
FAYNRTY	finerty
FAYZA	faiza
FAZ	faiz
FK	fac
FLAY	fly
FLAYS	felice
FLVRNS	florence
FLYMYNG	fleming
FLYSZ	felices
FN	fenn
FNGR	fanger
FNY	fane
FRANSYNTAY	francyntie
FRANSYNTZ	franscyntje
FRANSYSYVS	frnaciscus
FRASTY	frosti
FRAYTGRSA	fritgersa
FRAZR	frazer
FRDYG	ferdig
FRJN	fragen
FRLY	farley
FRNANDZ	fernandez
FRNASYSKAZ	frnaciscus
FRNSAYNT	franscyntje
FRNSYSKA	francisca
FRYDH	fariha
FRYDL	friedl
FRYMAL	freemal
FRYNGTVN	ferrington
FRYS	fries
FRYVVGL	freivogel
FRYZ	freese
FTRA	fetra
FVJYTA	fujita
FVLR	fuller
FVMRTVN	fumerton
FVRDHAM	fordham
FVRSBLAM	forsblom
FVRS	force
FVT	foot
FVY	fui
FXRY	fakhri
FXRYYA	fakhriyya
FYKS	fix
FYLAKS	phlux
FYN	finn
FYRHRST	fairhurst
FYSBYN	fishbein
GABARA	gabara
GALAVY	galloway
GALY	galli
GAMAL	gamal
GAMBYNV	gambino
GANRVS	gunnerus
GANS	gans
GANZAK	ganzak
GARFYNKL	garfinkel
GARLYK	garlick
GARNT	garnett
GARSVL	garshol
GASLYK	guslick
GASTA	gosta
GASTAVS	gustavus
GASTYNYV	gastineau
GASY	gussie
GATRYJ	gutteridge
GBY	gabi
GLASKV	glassco
GL	gul
GLYC	gleich
GML	gamal
GNAGY	gnagy
GNZALS	gonzales
GNZALS	gonzalez
GNZ	genks
GPJ	gepje
GRABYNR	grabiner
GRAH	grah
GRAND	grande
GRBYAH	gharbiyah
GRDAN	gordan
GRNJR	grainger
GRNY	gurney
GRSAPH	gersappe
GRT	gerth
GRVSY	grosse
GRYBL	gribble
GRYFYTS	griffiths
GRY	gray
GRYGVR	gregor
GRYNJR	grainger
GRYSMVR	grismore
GRYTZ	gritz
GRYYN	green
GRYZLY	grizzly
GSAN	ghassan
GVDHV	goodhew
GVLSBY	goolsbee
GVNZALS	gonzalez
GVPALAN	gopalan
GVRD	goverd
GVRDYN	gordin
GVRM	gorm
GVRNAL	gornall
GVRVSAMY	gurusamy
GVRYNDR	gurinder
GVRYS	goris
GVSVYL	goswell
GVTJS	gootjes
GVVDYNG	gooding
GVYL	gowell
GVYVDA	gouda
GVYYDV	guido
GVZVYTZ	gosewitz
GYBVR	gabor
GYFT	gift
GYLFVRD	guilford
GYL	gil
GYLNR	gilner
GYLRY	guillory
GYLYTA	geleta
GYMNZ	gimenez
GYNKZ	genks
GYR	geier
GYRHART	gearhart
GYRTSN	geertsen
GYRVLAYT	geervliet
HABYN	hubein
HACYNSVN	hutchinson
HADVBA	hudoba
HAFMN	hoffmann
HAFMN	huffman
HAFNYLYNG	houghtailing
HAGA	haga
HAGDAL	hugdahl
HAGLYN	hagelin
HAJ	haj
HAKS	hawks
HALK	halleck
HALPYN	halpin
HALY	hale
HALYMN	hollyman
HAMBYJ	hambidge
HAMPTVN	hampton
HAPSVN	hopson
HARDYMN	hardiman
HARDYSVN	hardison
HARLD	harald
HARLD	harold
HARMAN	harman
HARP	harpe
HARTFYLD	hartfield
HARTLP	hartlep
HARVLD	harold
HARVN	haroon
HARVNY	haruni
HASAKAH	hasakah
HATCYNZ	hutchins
HAVKYN	hawkin
HAVKYNZ	hawkins
HAVL	howell
HAVSR	houser
HAYDAR	haidar
HAYLND	highland
HFRVN	heffron
HFS	hafs
HGY	heggie
HGYR	hagir
HJRY	hajery
HLD	heald
HL	hell
HLK	helke
HLMZ	helms
HLN	hellen
HLVM	holum
HLY	holle
HMR	dhamar
HMSYRH	hampshire
HNDRYCY	hendrickje
HNDRYKAS	hendricus
HN	han
HNTJ	hentje
HNTJH	hentje
HNYK	henneke
HPLR	hepler
HRAYZYNG	huizing
HRDASFYLD	herdsfield
HRMAN	hermann
HRTVK	hertweck
HRYVL	hartwell
HSAKAH	hasakah
HSTR	hester
HVDSN	hudson
HVFT	hooft
HVG	hoge
HVG	hough
HVGN	huigen
HVKN	hawken
HVLAND	holland
HVLM	holm
HVLZVARS	holzwarth
HVM	humm
HVRNR	horner
HVRST	horst
HVRVVYTZ	horowitz
HVRYHAN	hourihan
HVRYV	horio
HVVN	hooven
HVVR	hoover
HYDN	hayden
HYKARV	hikaru
HYL	hail
HYL	hale
HYLSVN	hilson
HYLT	heyltje
HYLTH	heyltje
HYLTJH	hilletje
HYLZ	hills
HYNJ	hainge
HYNTZ	heintz
HYNVZ	heinous
HYVNGAN	hiongun
HYVVYT	hewitt
HYVZR	heuser
HYZYMNZ	heezemans
JAD	jud
JAKVAS	jacques
JALA	jala
JAPJH	jaepje
JAPJ	jaepje
JARAS	jarash
JASTYH	justje
JASTYN	justine
JBHH	jaepje
JBH	jobje
JF	geoff
JFRY	jeffrey
JL	gell
JMAL	jamal
JNKS	jenks
JNYK	jenneke
JRADA	jerada
JRVNYVS	jeronimus
JVAY	juay
JVBYN	joubin
JVF	geoff
JVL	jewell
JVLYF	jolliff
JVRY	jory
JYMZ	james
JYN	jean
JYNTVN	ginton
JYVRDANV	giordano
KACY	cutchie
KADMVS	cadmus
KAGSVL	cogswell
KAKRAFT	cockroft
KALBRYJ	calbridge
KALDL	kuldell
KAL	kalle
KALVM	collum
KALVRT	calvert
KAMAL	kamal
KAM	kam
KAMPAGNA	campagna
KAMPR	kamper
KAMPYLV	campillo
KANBVY	conboy
KANRLY	conerly
KANTRL	cantrell
KANYSNA	katishna
KANZY	kanze
KAPSVN	kapson
KARA	kara
KARAN	karan
KARKARN	corcoran
KARLYN	carlin
KARN	karen
KARTNR	curtner
KARVLYN	carolyn
KASARA	cassara
KASAT	kasat
KASNYR	kushnir
KASTRYKVM	castricum
KASYNLY	cassinelli
KATLYR	cutler
KATRYN	katryntje
KAVASYN	cavasin
KAV	cau
KAVLY	mccauley
KAVSTN	cawston
KLAMN	clamen
KLARTJ	klaartje
KLASA	klassa
KLAYSVN	claeson
KLBY	colbey
KLDVL	caldwell
KLDVY	coldewey
KLY	coley
KLYNGRVT	chillingworth
KLYR	kleier
KMFYLD	camfield
KMP	kemp
KMR	comer
KNG	keng
KN	kenn
KNRAD	coenraedt
KNSYNGTV	kensingto
KNTARV	kentaro
KRAMARY	karumuri
KRAS	cross
KRAVN	crown
KRC	krech
KRHANG	kerhong
KRNVL	cornwell
KRRAY	kerrie
KRSNR	kershner
KRSNR	krasner
KRVSN	crossen
KRVYN	corwin
KRVZ	crews
KRYCFYLD	critchfield
KRYGAN	kerrigan
KRYG	krieg
KRYR	carrier
KRYSP	crisp
KRYSPYJN	crispijn
KRYSTY	christy
KRYVASZ	crevasses
KSLN	keshlan
KST	kast
KVANBAY	quinby
KVGVMA	kogoma
KVHN	cohn
KVKFYLD	cockfield
KVLN	kolen
KVLT	kolte
KVLYCALA	kolichala
KVNRAT	coenraadt
KVPLND	copeland
KVRDYK	kordic
KVRNYVL	cornuelle
KVRP	korp
KVRTH	korte
KVSAY	kushay
KVSJ	koosje
KVSYN	kocian
KVYALYK	kowalik
KVYK	koike
KVYKNBAS	quackenboss
KVYN	quin
KVYNRAYT	coenraedt
KVYYNTVN	quainton
KVYZMN	coesmans
KVZY	cozzi
KYBV	kibo
KYHL	kiehl
KY	key
KYK	kick
KYMPA	kimppa
KYN	cain
KYNRSLY	kinnersley
KYNT	kint
KYP	kipp
KYR	keir
KYSA	keasha
KYS	case
KYSR	kiser
KYSVN	cason
KYT	kitt
KYVNG	keong
KZMNZ	coesmans
LADVN	ladonne
LADVVYKA	ludovica
LAFAVNTYN	lafountaine
LAFY	laffey
LAGRLYNG	lagerling
LAK	lock
LAKSV	laakso
LAMBRN	lamborn
LAMBVRN	lambourne
LANDL	lundell
LANDYN	lundeen
LANR	lauener
LANSFRD	lunsford
LARN	larren
LAVRNS	lawrence
LAVTVN	lawton
LAVYN	lavigne
LAYDYA	lydea
LAYTNYNG	lightning
LAZARD	lazard
LHMN	lehman
LHY	lahij
LKS	lax
LMBVVRN	lambourne
LMYR	lemer
LNTLVSAMAD	lantlosamade
LNTYN	lentin
LPLA	leppla
LSYAK	lesiak
LVDVYK	lodewijk
LVKAS	lucas
LVKN	loken
LVNDVN	lewendon
LVNY	lownie
LVRA	laura
LVRA	lora
LVRY	lawrie
LVSTR	luster
LVSTY	lusty
LVTBG	luttbeg
LVYNSVN	levinson
LVZYR	lozier
LYBCN	liebchen
LYBYD	lebed
LYCARSVN	licharson
LYDA	lydea
LYDN	leyden
LYDVYNA	lidwina
LY	lau
LYNAN	lennon
LYNARS	linares
LYN	lien
LYPARD	lippard
LYPSKVMB	lipscombe
LYSBTJH	lysbethje
LYSN	leason
LYSYN	lesesne
LYTLTVN	littleton
LYVBVNY	lyubovny
LYVNSBRY	lounsbery
LYYL	lyell
MACTLD	machteld
MADAKS	maddux
MADN	madden
MADSN	madsen
MAHA	maha
MAJYV	maggio
MAK	mawk
MAMN	mammen
MAMRT	mummert
MANA	manna
MANDL	mandel
MANTL	mantle
MARAT	marat
MARGARYTJY	margarietje
MARGARYT	margarietie
MARK	mark
MARKVYZA	marqueza
MARSTVN	marston
MARTYJNTJY	martijntje
MARTYNZ	martens
MARTYZN	martijn
MARVYN	marvin
MARYJKN	marijken
MARYTJ	marritje
MASNA	masnaa
MATA	mata
MAVBY	mawby
MAV	maw
MAYFYLD	mayfield
MAYN	maine
MAYR	meyer
MDNYT	madinat
MDYNT	madinat
MDYSVN	madison
MFRVK	mafraq
MKDVNALD	mcdonald
MKGVYRK	mcguirk
MKKRKN	mccracken
MKLAGLYN	maclaughlin
MKNYL	mcneill
MKVTV	makoto
MKYL	makil
MLKVM	malcolm
MLYN	mellin
MNARD	menard
MNDL	mandl
MNGAN	mangan
MNJYVN	mangione
MNTSR	mentzer
MNZYZ	menzies
MQBRH	moqbara
MRSRYV	mersereau
MRVAN	marwan
MRYMN	merriman
MSKS	meskes
MTRNYC	metternich
MTVR	mathur
MTYVS	matthews
MTZYNG	metzing
MVGANTY	moganti
MVHR	mohar
MVLYGAN	mulligan
MVLY	mouli
MVNAKV	monaco
MVNTAG	montag
MVNTA	monta
MVNTVYA	montoya
MVNYZ	muniz
MVRKN	morken
MVRTVN	morton
MVRTYMR	mortimore
MVRVNY	moroney
MVSYG	muessig
MVTVR	motor
MVYL	moile
MVYZ	muise
MYGR	meagher
MYKAK	maycock
MYKAYYLYZ	michaelis
MYLAN	millan
MYLKS	milks
MYLY	milley
MY	mai
MYN	main
MYN	mean
MYNSTRL	minstrel
MYNTAKAH	mintaqah
MYR	mier
MYRYDYT	meredith
MYSA	mesa
MYTAL	mithal
MYVZR	meuser
MYZVN	maison
MZDH	mazdeh
NAKASYMA	nakashima
NATAN	nathan
NAYKS	nyikos
NDN	neden
NDYN	nedin
NMAZY	namazi
NSYHA	nasiha
NTRTVN	netherton
NVAR	nawar
NVAZ	nawaz
NVBL	knobel
NVDA	noda
NVGNT	nugent
NVRDT	nordt
NVRSVRP	northorpe
NVYA	noya
NVYL	neville
NVYNGTVN	newington
NYCVLAS	nicholas
NYCVLS	nichols
NYDA	nida
NYFYN	kniffin
NYKLAS	nicolaus
NYKLAS	niekolaas
NYKLSVN	nicholson
NYKLV	nicolo
NYK	nic
NYK	nick
NYKRSVN	nickerson
NYKVLS	nichols
NYLTJH	neeltje
NYNVYS	ninoys
NYVAYNGTVN	newington
NYVMN	newman
NYVMYR	newmeyer
NYVTN	newton
NZAHAH	nazahah
PACYANV	pachiano
PAGT	pagett
PAKVAT	paquet
PALFVRD	pulford
PALY	pauli
PANDR	ponder
PAP	papp
PARNS	parnass
PATN	patten
PAYK	pike
PAYTH	pietje
PAYVLSVN	paulson
PGRAM	pegram
PLYNSKYN	plinskin
PNDYA	pandya
PRACT	pratchett
PRAL	prall
PRAMVD	pramod
PRANGS	prongs
PRASANT	prashant
PRATYKS	pratiksh
PRAVL	prowell
PRAYB	pribe
PRAYL	prael
PRKS	parks
PRPK	perpk
PRVAN	provan
PRVS	pruss
PRVTRV	prothero
PRVYN	parvin
PRYMV	primeau
PTCR	petcher
PTRV	petro
PVGA	puga
PVG	pugh
PVLGAR	pulgar
PVLV	polo
PVLYT	politte
PVLYYAM	pulliam
PVLZ	powles
PVMA	puma
PVNA	puna
PVRANYK	puranik
PVS	posh
PVSTYL	postill
PVTZ	putz
PYAK	paik
PYATJY	pietje
PYATK	piatek
PYKZ	peaks
PYNA	pina
PYNCAZ	pinchas
PYN	payne
PYNSN	pinson
PYNZ	pins
PYP	pape
PYPVNY	piponi
PYRAMYD	pyramid
PYRARD	pirard
PYRV	piero
PYSLY	paisley
PYV	pugh
PYVRYNTN	purinton
QLYBA	ghaliya
QNTVN	ginton
QYT	ghayth
RABLD	rabold
RABTM	rubottom
RABY'H	rabiah
RABYN	robbin
RADNBRC	radenburch
RADNBRGRBRVK	radenburgerabroek
RADRFRD	rutherford
RADR	rader
RAFAL	rafal
RAGNRD	rognerud
RAHBK	rohbeck
RAHRYG	roehrig
RAJ	raj
RAN	rohn
RAN	ron
RAN	ronne
RANY	ronni
RANYV	ranu
RASTY	rusty
RATJRT	rutgert
RAVLT	raoult
RAVY	ravey
RDRYK	roderick
RDY	reddy
RFA	rafa
RKKAH	raqqah
RLF	rolfe
RMNCYK	romanchik
RNBART	rennebarth
RNDY	randy
RNJ	rheni
RQA	raqqah
RQD	raghd
RSYNH	resyntje
RT	rat
RVAY	ruey
RVBRTA	roberta
RVDNBRG	roodenburg
RVDVLF	rudolph
RVNDA	ronda
RVNYT	ronit
RVPRT	rupert
RVSNDL	rosendale
RVSN	rosen
RVSVN	rosson
RVYPK	roepcke
RVYS	royse
RVYTNBRG	roytenberg
RYBAR	ribar
RYDH	rida
RYDN	reyden
RYDR	ryder
RYGV	rigo
RYJ	ridge
RYLND	reiland
RYMVND	raimond
RYNAH	zaynah
RYSVR	reasor
RYTA	rita
RYVARD	rivard
RYVMLR	ruemmler
RYVNVLD	reinoud
RYVYRH	rivoire
RYZ	reese
SABVS	schabus
SADYK	saddique
SAKLAD	saklad
SAKLA	shukla
SAKYA	shakya
SALGVRV	salgueiro
SALVM	shalom
SALVMVN	solomon
SALYAN	salian
SALYVAN	sullivan
SAMANTA	sumanta
SAMANTA	sumanth
SAML	samel
SAMRZ	summers
SAM	shum
SAMVLS	samuels
SANDLYN	sundelin
SANY	sunni
SANZBVRN	sansburn
SANZ	sanz
SARKNAS	sharknas
SARNA	sarna
SASAKY	cacace
SATFN	sutphen
SAT	shutt
SAYBRT	siebert
SAYKS	sikes
SBRA	sabra
SDGRV	sadgrove
SDV	shadow
SKLANY	saklani
SKSTVN	sexton
SLAT	slut
SLYMANYH	sulaymaniyah
SLYV	celio
SMALYH	shamaliyah
SMBHV	shambhu
SMYLH	shamaliyah
SMYR	schmeer
SNDBRG	sandberg
SND	sand
SNHAL	snehal
SPASTYN	sebastiaen
SRASVL	cerasuolo
SRJH	saartje
SRLYNG	serling
SRVMBC	crumbach
SRYA	thurayya
SRYF	sharif
SRYF	sherriff
SRY	sherry
STRATVN	straton
STRYTR	streater
SVAMY	swamy
SVAN	shuen
SVDARSAN	sudarshan
SVDYP	sudip
SVDYPTV	sudipto
SVLD	sold
SVLVYR	solovier
SVLY	soli
SVN	seven
SVNY	sonny
SVNY	sony
SVPRYV	supriyo
SVRAB	sorab
SVRSVN	severson
SVSAL	social
SVTR	suter
SVYDA	suwayda
SVZ	suze
SYANV	siano
SYBLY	sibley
SYBRT	siebert
SYGMN	sijmen
SYKAGV	chicago
SYKR	shaker
SYKVLV	sicolo
SYKVRA	sikora
SYLBRMN	silberman
SYLVAN	sylvan
SYLVNN	silvonen
SYLYMAN	silliman
SYLY	seely
SYMAL	cemal
SYMLR	simler
SYMYNGTVN	symington
SYNAN	sinan
SYNKLARY	sinclair
SYPL	seipel
SYR	cyr
SYRKVYS	cirques
SYRS	serres
SYRVS	cyrus
SYTARAM	sitaram
SYTYH	seytie
SYTYZN	citizen
SYTZ	seitz
SYVALD	seewald
SYVLA	savela
SYVNG	sung
TAKY	taki
TALBVYZ	talboys
TAMPKYNZ	tompkins
TAM	tam
TAMZ	toms
TAPR	tupper
TARK	tariq
TARS	torres
TARYK	tariq
TATH	taatje
TAYSN	tyson
TBT	thabit
TFYLAH	tafilah
TGLBRG	tegelberg
TGL	tagle
THYRAH	tahirah
TKS	tex
TLR	teller
TMBRY	tamburri
TMPLTVN	templeton
TNAYA	tenaya
TNTS	tants
TNVRYV	tenorio
TNY	tinney
TRANYTSA	turnitsa
TRAYSTNSYS	traiectensis
TRL	terrell
TRNS	ternes
TRNTN	thornton
TRVF	trough
TRVP	throop
TRVRYS	treuerice
TRV	true
TRVYT	truitje
TRYDVY	treadway
TRYPS	tripps
TRY	tierie
TSYNK	tesink
TTRV	tetro
TVMAS	tuomas
TVNYS	teunis
TVRY	torrie
TVTY	totty
TYM	tame
TYNG	ting
TYN	tean
TYN	tin
TY	tay
TYVNYS	teunis
TYYVLN	thulen
VAKVRN	vankeuren
VALDMNNA	waldmanneuenna
VALTRZ	walters
VAL	vall
VALVM	vollum
VALVR	valur
VALYNGTN	wallington
VANK	vonk
VANVLK	vanvleck
VANVRANKN	vanvranken
VARBRVG	warborough
VARBRVQ	warborough
VARNS	varnes
VARYANTS	variants
VASNGTVN	washington
VATKYNZ	watkins
VAYMN	wyman
VAYN	vine
VJYHA	wajihah
VLADV	vlado
VLDMN	voldman
VLDN	velden
VLK	wolke
VLTY	welty
VNASCVNVN	vanschoonhoven
VNDL	wendel
VNDL	wendell
VNDRVR	vanderveer
VNDRVYR	vanderveer
VND	wand
VNKAT	venkat
VNR	venner
VNTZ	weintz
VNZANT	vanzandt
VNZND	vanzandt
VRBK	verbeck
VRKMN	workman
VRLYND	verlinde
VRMVNT	wermont
VRMZ	vermes
VRVYJ	verweij
VSTLY	vestli
VSYM	waseem
VVDD	wooded
VVDN	wooden
VVLMN	wolman
VYKNZ	wilkens
VYK	vic
VYLDYNG	wilding
VYLFRD	wilford
VYLFRD	wilfred
VYLMVT	wilmot
VYLND	weiland
VYLR	weiler
VYMPYJ	wimpje
VYNSNT	vincent
VYNTJ	wyntje
VYNT	wyntje
VYNZ	winz
VYPK	wiepkje
VYR	weare
VYTAKA	vitaca
VYTFYLD	whitfield
VYTKAMB	whitcomb
VYVK	vivek
VYVR	weaver
VYVYANH	viviane
XAN	khan
YAN	yan
YAP	yap
YARGR	yerger
YARMAN	yarman
YAV	yaw
YRBRY	yerbury
YVHANS	johannes
YVNGSAP	yongsup
YVN	yumn
ZAFYNA	zafina
ZAKY	zaki
ZARYTN	zjarritjen
ZAZA	zaza
ZFYNA	zafina
ZHRA	jahra
ZHRA	zahirah
ZLTJ	jeltje
ZPKA	zepka
ZRYFA	zarifa
ZRYH	zaria
ZVTRVD	zoeterwoude
ZVZF	joseph
ZYGMVNT	zygmunt
